:BEGIN,,,,,,
Work Oder NO.,WuxiFATP202009290001,,,,,
Measure Time,9/28/2020 10:30,,,,,
Item NO.,1,,,,,
Station,PSA to Glass,,,,,
SN,A1CC01,,,,,
Config,AJ613-3347,,,,,
Production Machine ID,1#,,,,,
Sample,1,,,,,
Fixture ID,45,,,,,
Cavity,1,,,,,
Gauge ID,OG-C023,,,,,
Emp ID,W2435,,,,,
Feature,Unit,Actual,Norminal,Upper,Lower,Devaition
FAI1,mm,5.5806,5.56,0.1,-0.1,0.0206
:END,,,,,,
:BEGIN,,,,,,
Work Oder NO.,WuxiFATP202009290001,,,,,
Measure Time,9/28/2020 10:32,,,,,
Item NO.,2,,,,,
Station,PSA to Glass,,,,,
SN,A1CC02,,,,,
Config,AJ613-3347,,,,,
Production Machine ID,2#,,,,,
Sample,2,,,,,
Fixture ID,46,,,,,
Cavity,2,,,,,
Gauge ID,OG-C023,,,,,
Emp ID,W2435,,,,,
Feature,Unit,Actual,Norminal,Upper,Lower,Devaition
FAI1,mm,5.5305,5.56,0.1,-0.1,-0.0295
:END,,,,,,
:BEGIN,,,,,,
Work Oder NO.,WuxiFATP202009290001,,,,,
Measure Time,9/28/2020 10:33,,,,,
Item NO.,3,,,,,
Station,PSA to Glass,,,,,
SN,A1CC03,,,,,
Config,AJ613-3347,,,,,
Production Machine ID,3#,,,,,
Sample,3,,,,,
Fixture ID,47,,,,,
Cavity,3,,,,,
Gauge ID,OG-C023,,,,,
Emp ID,W2435,,,,,
Feature,Unit,Actual,Norminal,Upper,Lower,Devaition
FAI1,mm,5.563,5.56,0.1,-0.1,0.003
:END,,,,,,
